dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample
german,5,cte_shap_kernel,15.005245923995972,0.00032401084899902344,200,8
german,5,cte_shap_permutation,0.5956158638000488,0.00032401084899902344,200,8
german,5,cte_sage_kernel,33.70472598075867,0.00032401084899902344,200,8
german,5,cte_sage_permutation,30.69728374481201,0.00032401084899902344,200,8
german,5,cte_with_predictions_shap_kernel,14.939139127731323,0.0003509521484375,200,8
german,5,cte_with_predictions_shap_permutation,0.672429084777832,0.0003509521484375,200,8
german,5,cte_with_predictions_sage_kernel,33.35447978973389,0.0003509521484375,200,8
german,5,cte_with_predictions_sage_permutation,29.834667921066284,0.0003509521484375,200,8
german,5,cte_stratified_shap_kernel,19.627712965011597,0.00043082237243652344,200,12
german,5,cte_stratified_shap_permutation,0.758699893951416,0.00043082237243652344,200,12
german,5,cte_stratified_sage_kernel,19.040199041366577,0.00043082237243652344,200,12
german,5,cte_stratified_sage_permutation,18.221379041671753,0.00043082237243652344,200,12
german,6,cte_shap_kernel,15.853127002716064,0.0003180503845214844,200,8
german,6,cte_shap_permutation,0.6972517967224121,0.0003180503845214844,200,8
german,6,cte_sage_kernel,16.544716119766235,0.0003180503845214844,200,8
german,6,cte_sage_permutation,11.497178077697754,0.0003180503845214844,200,8
german,6,cte_with_predictions_shap_kernel,15.277784824371338,0.00034618377685546875,200,8
german,6,cte_with_predictions_shap_permutation,0.6836049556732178,0.00034618377685546875,200,8
german,6,cte_with_predictions_sage_kernel,19.60393977165222,0.00034618377685546875,200,8
german,6,cte_with_predictions_sage_permutation,14.193029880523682,0.00034618377685546875,200,8
german,6,cte_stratified_shap_kernel,19.292078018188477,0.0004398822784423828,200,12
german,6,cte_stratified_shap_permutation,0.7483949661254883,0.0004398822784423828,200,12
german,6,cte_stratified_sage_kernel,21.94029211997986,0.0004398822784423828,200,12
german,6,cte_stratified_sage_permutation,18.381994009017944,0.0004398822784423828,200,12
german,7,cte_shap_kernel,15.229496955871582,0.0003249645233154297,200,8
german,7,cte_shap_permutation,0.5668599605560303,0.0003249645233154297,200,8
german,7,cte_sage_kernel,24.728713035583496,0.0003249645233154297,200,8
